artistName,albumName,trackName,uri
Rosendale,The Stages of Grief,Boys Feel Sad Too,spotify:track:5Mr8OVvwY7xMAokztTOeVm
Spectrum,Lost My Way,Lost My Way,spotify:track:7DH0vdxJkpUVm8XJuQdUHi
Conro,I Wanna Know,I Wanna Know,spotify:track:6IMbNv4p0MLSSv3mpb9TgI
Robin Hustin,On Fire,On Fire,spotify:track:12NDeZcKb7QR9Q6peVEEQH
Fordo,2001,OBVIOUS,spotify:track:0ElIUZGMTtTDsrcmUHllsp
CG5,Child Wielding Needle,Child Wielding Needle,spotify:track:4GaqtBAvP2zxckmzATwSnf
Lensko,Cetus,Cetus,spotify:track:2qq7wjKQ8pAtBSvIkSN2uD
Stonebank,The Pressure,The Pressure,spotify:track:20IJWbmZq5kFs9PUvVkWqX
Lost Sky,Fearless,Fearless,spotify:track:7xkCeK3qzCyf43cF8yN7Xt
mavo,Need Your Lovin',Need Your Lovin',spotify:track:0P3LvqX53GjAXZsdEJZ1zf
k?d,Find Paradise,Electronic Memories (feat. Mickey Kojak),spotify:track:2viJufnGlsjR1X51CEHpeg
SABAI,Love For You,Love For You,spotify:track:7ao8imeoghP0rWSOrIJalv
Aviella,Way Back,Way Back,spotify:track:0TEiOUYQYGeDsoBqVSZYIQ
Chuck New,Clear Skies,Clear Skies - Original Mix,spotify:track:200uKVejIw3yvChwNLBfl5
Seven Lions,Island (feat. Nevve),Island (feat. Nevve),spotify:track:3HKiR4t12GW18bnPUVhx5l
Seven Lions,Light In The Dark,Light In The Dark,spotify:track:5WThXtwIJ4B2VS6TtwDiNF
STIM,burden,burden,spotify:track:1YceCDdPWhDWVzYmsFvvVY
Tate McRae,Just Keep Watching (From F1® The Movie),Just Keep Watching (From F1® The Movie),spotify:track:2yWlGEgEfPot0lv3OAjuG3
Young Jonn,Jiggy Forever,Aquafina,spotify:track:0UJMgRVNBrnMmAeZ8p1iMc
Ella Henderson,Dream On Me,Dream On Me - Roger Sanchez Remix,spotify:track:1ml0dtE1KtsXacLt7NJkze
Bad Computer,Somewhere New,Somewhere New,spotify:track:0XdMaSEjQvMM4HKN6Ch8zw
Asher Postman,Going to the Sun,Going to the Sun,spotify:track:0ZgPgFwCwLTETyjvGle2wr
Rogue,Imperfect Views,Imperfect Views,spotify:track:5GljXYUiVUzyinXkR0gwtq
Swif7,Be Swif7,Cyber Cruiser,spotify:track:79tR39V94VdAPjRiFp3GkY
Afinity,LUNAR-1,Gravity,spotify:track:67JGqNjFnv6Dw1RAdTDcR8
Rogue,Mirage,Mirage,spotify:track:2B7iAtlP4hhP1kUGt305cG
Craig Reever,Light Me Up,You Light Me Up,spotify:track:17nNJNrJ8mrVA2xs5NkVsR
soupandreas,Tumbling Down,Tumbling Down,spotify:track:6IcNdqF3kG6zlqM66WSVFE
LIONE,Adore,Adore,spotify:track:4yg3BiEztuvnH27Qn8OOZv
Deanz,Let U Go,Let U Go,spotify:track:76U8zSngT9ZJcbAsjykzj6
PSY,Gangnam Style (강남스타일),Gangnam Style (강남스타일),spotify:track:03UrZgTINDqvnUMbbIMhql
Kadant,What We Weren't,Jump In,spotify:track:5p2IUFdcUYvRgnzftASBkn
Razorspade,Enjoy the Ride,Water Tide,spotify:track:7rKt6HtrfHvDsUV0JdZJwD
Flame Runner,Pasos De Fuego,Pasos De Fuego - Slowed,spotify:track:5ukBbKBSbEUZBfwkeVtGda
Alex Warren,Ordinary,Ordinary,spotify:track:6qqrTXSdwiJaq8SO0X2lSe
Olivia Rodrigo,GUTS,vampire,spotify:track:1kuGVB7EU95pJObxwvfwKS
KiDi,The Golden Boy,Mon Bebe,spotify:track:2QQk94CGXfsO5J6k6im7Jw
