artistName,albumName,trackName,uri
Insan3lik3,You Make Me Go,You Make Me Go - Original Mix,spotify:track:177TmGyY9GfeIusmJRNHYs
vaultboy,rocket science,rocket science,spotify:track:55cwGtYrExG7slEAor5jeR
Victony,Stubborn,Everything,spotify:track:37neENY88EhsuW7ZqJsy6C
Adekunle Gold,Tequila Ever After,Do You Mind?,spotify:track:6fYefaw0KturTfuRNTKFbX
Tom Frane,Don't Leave,Don't Leave,spotify:track:24S2WSZEcOUM4XGCBFTrBm
Glacier,Enough,Enough,spotify:track:1qYdjpPAmBgpoTLft3ZcDE
Tom Wilson,Follow,Follow,spotify:track:4pZL6DB4POXpOopyC5TMzc
Summer Was Fun,Watching,Watching,spotify:track:0NTUHSbRIyXQpBodBZwuwp
FWLR,Cave Me In,Cave Me In,spotify:track:5WAZBrbZuZvcfKWywjJwld
Kizz Daniel,Barnabas,Lie,spotify:track:03DxO8kGNrEGr1VjPSdQs2
smle,Can't Sleep Alone,Can't Sleep Alone,spotify:track:2ltBTgQFYnxBkxQMKvarNn
Fireboy DML,Playboy,Diana,spotify:track:6g8vNyogMW32lhHlNcDiwX
Netrum,Colorblind,Colorblind,spotify:track:2b9tQeDmIctkJwNm1C9uGx
inverness,Lost My Mind,Lost My Mind,spotify:track:1TRkBANxImuCUOIgd2ilh6
Stonebank,The Pressure,The Pressure,spotify:track:20IJWbmZq5kFs9PUvVkWqX
Central Cee,Doja,Doja,spotify:track:3LtpKP5abr2qqjunvjlX5i
Steve Lacy,Gemini Rights,Static,spotify:track:4OmfWzukSVD140NiAIEjem
JJD,Vertigo,Vertigo,spotify:track:0Ptbg3nbvmHK5AMQ2OQxvV
Anevo,Feel Something,Feel Something,spotify:track:2JQuT1BrEKldB7p65b2yZh
Abandoned,Sunlight,Sunlight,spotify:track:3g6iY0xTspOgH74iSThAEW
Stromae,racine carrée,humain à l'eau,spotify:track:1utm8E02HhJjVHwVuRv3AE
TOKYOPHILE,Montagem Sonic Ritmado 1.0 (Super Slowed),Montagem Sonic Ritmado 1.0 (Super Slowed),spotify:track:5yruPkF5lplk9VUZIMsBzQ
Franz Liszt,"Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145)","Gnomenreigen, S. 145 No. 2",spotify:track:56Xsp5UNiPvTF38Nws1xLd
Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),spotify:track:2JzZzZUQj3Qff7wapcbKjc
Rogue,Move Me,Move Me,spotify:track:15S4Eo0WcSvPShnO6tWeGr
Hollywood Principle,Run Away,Run Away,spotify:track:5CJTyihj0ERbM0OcMCXFsX
Ruger,RnB,Calculate Love,spotify:track:6SQNUYQB4FEMS3UfTDZ5kd
Davido,A Good Time,Fall,spotify:track:1hEXElwyPez2z7m5dZ56Mc
Stromae,Multitude,Bonne journée,spotify:track:0i0ESj6M9eV8ck3LP07QzD
Tayc,Fleur froide,Le temps,spotify:track:6yIh43XrY4Mc5xOxeagVhp
Netrum,Always Be,Always Be,spotify:track:0aohefgYGm6l5IZACPK8yu
Dave,PSYCHODRAMA,Location (feat. Burna Boy),spotify:track:3z4CGd63tpUn9a6oQSG0CI
Keepsake,This Time Around,This Time Around,spotify:track:5wNThDmGji73A6LIM0p3bF
Conan Gray,Superache,People Watching,spotify:track:3TFoEJe5zNuHZStRboWPxg
DROELOE,The Choices We Face,Step By Step,spotify:track:0pLHLA1JaWln8lNkNppDqn
Werenoi,Carré,Chemin d'or,spotify:track:5kfAx6phDHPpz5g8IAPyc2
SLANDER,Heaven Feels Like,Heaven Feels Like,spotify:track:0nSxiyRH74IpDiVdYLVjsv
Rogue,Fury,Fury,spotify:track:2NACBgavgH8wDVN1MoFrHx
LVTHER,This Love,This Love,spotify:track:5cO69UtZZfWsiGW8P4W7gk
Bob Sinclar,Rock This Party (Everybody Dance Now),Rock This Party (Everybody Dance Now),spotify:track:5qiIxojpo8YTFgOOcDuOaB
Kovan,Skyline Pt. II,Skyline Pt. II,spotify:track:0lr3uoQGBxdiYrhmjSat9Q
Syn Cole,Gizmo,Gizmo,spotify:track:1cOnkjatYqopUe2Ka9fjOo
Bad Computer,Silhouette,Silhouette,spotify:track:3LtneQPDsVu9sPOrrytH1a
ellis,Don't Say Ur Sorry,Don't Say Ur Sorry,spotify:track:11AcWqDru3oq5yO07iAS3p
Soprano,L'Everest,En feu,spotify:track:6FxIFhVlOvI1wcXWe8LKei
CKay,Sad Romance,emiliana,spotify:track:6bW7YnPQQffit1iwule5Vv
Kezah,Mirador,Mirador,spotify:track:4j5Bb0saeXmiz62XIZjcHj
Dmitri Shostakovich,"Shostakovich: 24 Preludes, Op. 34; Piano Sonatas Nos. 1 & 2","24 Preludes, Op. 34: No. 24 in D Minor. Allegretto",spotify:track:5nrubcnyKKYaLjpUHCHo7b
ZEG P,FADE UP,FADE UP,spotify:track:4ZpIuzx91EAPK3VimONbfB
Hollywood Principle,Starting Over (Deluxe Edition),Breathing Underwater - Ether Remix,spotify:track:5Fgs5BpJufdxh4qPmcnChV
kamome sano,waterproof,internet city - WRLD Remix,spotify:track:2n3LvF545FswWgY0pz3Zix
Ed Sheeran,÷,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3
Ruger,RU The World,Asiwaju,spotify:track:6z5y2kdxF4XrEVRFVqdGVL
WHIPPED CREAM,Light of Mine,Light of Mine,spotify:track:3jMeoTAxDrZfkVxMmWcWCg
Bad Computer,Fly,Fly,spotify:track:4sYTZ4T4McMnwHMaAdFDM7
Half an Orange,Mostly We Grow Trilogy,Blink 182,spotify:track:5ekmsmgAjZvx2V3OpaNEci
PSY,Gangnam Style (강남스타일),Gangnam Style (강남스타일),spotify:track:03UrZgTINDqvnUMbbIMhql
Hoaprox,Brighter Side,Brighter Side,spotify:track:2kxcZz8AdxbxWO42b1seY0
Maazel,Crashing Down,Crashing Down,spotify:track:2oSY3NJJ9KVGph6eoCoyZ5
Jackson Guthy,Giants - Fairlane Remix,Giants - Fairlane Remix,spotify:track:5csjj3zuYenhME7BVqqNrO
Haywyre,Tell Me,Tell Me,spotify:track:4LA3dGOhgExdQDYCC6RhnB
WRLD,Everything,Everything,spotify:track:3kuVb5atVwfl62N96VoZr3
Kovan,Miracle,Miracle,spotify:track:7j1mZYH8DKLPyq396nuozG
Eric Carmen The Non Binary Sandman,goofy ahh beat Vol.1,BaBABOOEY 2,spotify:track:27ebedp7fAM6ngPFx5TdUw
ellis,Feel That Way,Feel That Way,spotify:track:1qMak6TgZIdfcCzuGIAZyU
WRLD,By Design,By Design,spotify:track:3XDTQGGczAeXqzWiVGQ8fe
Brandyn Burnette,identity crisis,vitamin c,spotify:track:4ATF7u1o7FOWmUmGUDBVq8
Seven Lions,Not Even Love,Not Even Love,spotify:track:65s9dLrylbHp60IYIcUZEz
Bruno Mars,Doo-Wops & Hooligans,Marry You,spotify:track:6SKwQghsR8AISlxhcwyA9R
ALESTI,Flawed Design,Flawed Design,spotify:track:5qUWzZJsBIdVtDdWwcZFPp
Throttle,Where U Are,Bloom,spotify:track:4iM70UuzYLeQmD0Z6ozVEB
FWLR,Anyway,Anyway,spotify:track:0mMOK6viMeCNPneuDbUhLJ
Olamide,"Ikigai / 生き甲斐, Vol. 1",Uptown Disco,spotify:track:7vdGiPrjK0gJBoZE8UhDMJ
Rema,Rema,Dumebi,spotify:track:0SjQBdIddPvKSWxr8vk6QX
Kizz Daniel,Maverick,Buga (Lo Lo Lo),spotify:track:36tVdsRWDbPBekxVYEWhph
Fairlane,V,5 Years,spotify:track:1ZFZQK8OGNdRP7NE8DFJMc
Pheelz,Finesse,Finesse,spotify:track:4Gasn91fsCefnN8zM5GjA8
Burna Boy,"Love, Damini",For My Hand (feat. Ed Sheeran),spotify:track:3ltc9j6uh3LvO7FuXm6Ix3
Tems,If Orange Was A Place,Replay,spotify:track:2dFqK2ZkYB9Xc47gr3xXWl
Trinix Remix,Hits 2021,Hits 2021,spotify:track:3kKM8uOw9GIynO6imljgk9
Koven,Reality Reach,Settled,spotify:track:50QUXEnyi7rHNVf8q31fQL
Crazy Frog,Crazy Frog presents Crazy Hits,Popcorn,spotify:track:0jQ4Nb9ylfUheLP9EOpOFk
Lady Gaga,Die With A Smile,Die With A Smile,spotify:track:2plbrEY59IikOBgBGLjaoe
Arlow,Leave Us Behind,Leave Us Behind,spotify:track:1uHlbvptkDVp6Q1wIrcNMg
Time To Talk,Found You,Found You,spotify:track:4l9BRxqkf8whRn7dr8FyKw
Madeon,Love You Back,Love You Back,spotify:track:5wM6LOw2U6XeIFHfsgI6wU
Odeal,Be Easy,Be Easy,spotify:track:3w2PO4US2zMxFDxEjWT9yB
Grant,High Enough,High Enough,spotify:track:6qv0ptzHveUZEy4cwxoRg3
Savoy,Let You Go,Let You Go,spotify:track:2JO6PchDcyfbpnNzwOHYPg
Oliver,Full Circle,Last Forever (feat. Sam Sparro),spotify:track:41o2QE25SjZupiapjCQyQA
Tails,Cobra,Cobra,spotify:track:6z1LRCM39LEMh5UXvML0VM
Ryan Mack,Forever and Ever and Always,Forever and Ever and Always,spotify:track:5keXeMrCGBYXpJYQ0FFqjK
Benson Boone,Before You,Before You,spotify:track:523f4oSjrZx83XDtRLnsIw
Fonzi M,"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version] - Piano Arrangement","Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version] - Piano Arrangement",spotify:track:6ZMrN8FKGjRPQHzUPInmhM
Gerry Rafferty,City to City,Baker Street,spotify:track:5gOd6zDC8vhlYjqbQdJVWP
ellis,Orbit,Orbit,spotify:track:2yOvppJ146OvSRMBC0mjsB
