endTime,artistName,trackName,count
2025-03-02,Time To Talk,Street Lights (Ft. Axollo),6
2025-03-02,Rogue,Starlight,4
2025-03-09,JJD,Just A Minute More,15
2025-03-09,JJD,Somebody Like Me,12
2025-03-09,Azertion,Reality (ft. Dayce Williams),9
2025-03-09,JJD,A New Adventure,8
2025-03-09,Time To Talk,Found You,7
2025-03-16,Joya Marleen,Driver,8
2025-03-16,Scythermane,NUNCA MUDA? - Super Slowed,8
2025-03-16,Conro,Close,7
2025-03-16,Kovan,Brokenhearted,7
2025-03-16,Henry Moodie,drunk text,6
2025-03-23,Arlow,Freefall,14
2025-03-23,Rogue,Emeralds,8
2025-03-23,Kovan,Brokenhearted,6
2025-03-23,JJD,A New Adventure,4
2025-03-23,Kovan,Miracle,4
2025-03-30,WRLD,Rooms,7
2025-03-30,Auvic,Embers Inside,6
2025-03-30,Conro,All Me,6
2025-03-30,Half an Orange,Buzz Lightyear - WRLD Remix,4
2025-03-30,Rogue,Empires,4
2025-04-06,Audien,One More Thing,8
2025-04-06,DEXTER KING,Read Your Lips,8
2025-04-06,Auvic,Embers Inside,6
2025-04-06,Rogue,Move Me,6
2025-04-06,Maazel,Right Now,5
2025-04-13,Cinema Kid,Lost Time,14
2025-04-13,Fairlane,Someone Just Like You,13
2025-04-13,Fairlane,Panic Room,8
2025-04-13,DEXTER KING,Read Your Lips,7
2025-04-13,Fairlane,Not My Night,7
2025-04-20,Cinema Kid,Lost Time,11
2025-04-20,Tom Wilson,Be Myself,10
2025-04-20,Tom Wilson,Follow,10
2025-04-20,Fairlane,Panic Room,9
2025-04-20,Kovan,Thrill Is Gone,8
2025-04-27,Duumu,Talk!,12
2025-04-27,Maazel,Another Way,10
2025-04-27,Arlow,Happy Now,5
2025-04-27,Cinema Kid,Lost Time,5
2025-04-27,Tom Wilson,Follow,5
2025-05-04,Duumu,Intentions,9
2025-05-04,Duumu,Talk!,6
2025-05-04,Snareskin,Even LA,6
2025-05-04,smle,Halo,5
2025-05-04,Afinity,Gravity,4
2025-05-11,Duumu,Intentions,7
2025-05-11,Abandoned,I Forget,5
2025-05-11,PNL,Deux frères,5
2025-05-11,Cinema Kid,Satellite,4
2025-05-11,Duumu,Talk!,4
2025-05-18,Arlow,Frozen In Time (feat. Introspect),5
2025-05-18,Arlow,Leave Us Behind,5
2025-05-18,Duumu,Intentions,5
2025-05-18,Glacier,Enough,5
2025-05-18,SVRRIC,Fall To My Grave,5
2025-05-25,Fairlane,Enough,23
2025-05-25,Fairlane,Puzzle,9
2025-05-25,Glacier,Nurture,8
2025-05-25,SVRRIC,Fall To My Grave,8
2025-05-25,Snareskin,Even LA,7
2025-06-01,Arlow,Frozen In Time (feat. Introspect),13
2025-06-01,Aeden,Would You Be Waiting,9
2025-06-01,Arlow,Feel So Lucky,7
2025-06-01,Fairlane,Enough,6
2025-06-01,Aeden,I Feel Crazy,5
2025-06-08,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 9 in E Major. Presto",16
2025-06-08,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 15 in D-Flat Major. Allegretto",14
2025-06-08,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 24 in D Minor. Allegretto",14
2025-06-08,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 10 in C-Sharp Minor. Moderato non troppo",10
2025-06-08,Dmitri Shostakovich,"24 Preludes, Op. 34: No. 11 in B Major. Allegretto",8
