artistName,trackName,msPlayed
Gabzy,Jambazz,32.57615
Dntless,YOU,32.45715
Ruger,POE,32.23323333333333
Julian Calor,No Fear Anymore,32.1638
Lensko,Andromeda,32.0694
Disero,Like That,32.01
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",31.9529
Fairlane,Uncover You,31.919666666666668
Hallmore,It's Her (Extended Version),31.781833333333335
Madeon,Love You Back,31.64615
Duumu,Keep You,31.612033333333333
Athena,Moment,31.450066666666668
Justin Caruso,Your Move,31.433933333333332
Hallmore,The Sky (Extended Version),31.05325
Zerb,Addicted,31.007783333333332
Aiyo,Escapades,31.007416666666668
Heuse,Don't Hold Me Down (Feat. TARYN),30.980983333333334
Kovan,Miracle,30.942683333333335
Syn Cole,Wicked,30.875666666666667
Burna Boy,On the Low,30.760183333333334
Victony,Soweto,30.455183333333334
Aeden,I Feel Crazy,30.41705
Katnip,Feel the Energy,30.29455
Deanz,Somebody Else,30.279516666666666
Ruger,Make Way,30.278783333333333
Aiyo,Shallows,30.273966666666666
Trivecta,Hear My Call (feat. Tyler Graves),30.243066666666667
Bad Computer,4D,30.200483333333334
Ruger,Ilashe,30.15575
Stonebank,Breathe Me Back To Life,30.10335
JVKE,this is what space feels like,30.093533333333333
Korede Bello,Real Man,30.053616666666667
PSY,Gangnam Style (강남스타일),29.728466666666666
David Guetta,Beautiful People,29.618316666666665
Basixx,I'm a Fool for You,29.57615
Libianca,People,29.465083333333332
Haywyre,Stay With Me,29.375533333333333
Asher Postman,be with you,29.369366666666668
Olivia Rodrigo,vampire,29.322983333333333
Rema,Calm Down,29.224883333333334
David Kushner,Daylight,29.192
Timaya,Cold Outside,29.181
Hollywood Principle,Breathing Underwater - Ether Remix,29.179383333333334
smle,2 Me,29.126716666666667
Cleo Kelley,Can't Take My Eyes off You,29.06725
Justin OH,U&ME,29.066016666666666
K-391,Earth,29.044166666666666
Swif7,Always in My Head,28.996
Basixx,The Chase,28.885166666666667
Abandoned,I Forget,28.877333333333333
LVTHER,Friends Again,28.8687
Mindme,Get Me out of Here,28.7777
DROELOE,Sunburn,28.701083333333333
DEXTER KING,Unbroken,28.595483333333334
Duumu,All for Nothing,28.31223333333333
Afinity,Endless (Best of Me),28.269433333333332
JVKE,this is what heartbreak feels like,28.231683333333333
Tayc,Le temps,28.170483333333333
Forrest Frank,NEVER GET USED TO THIS,28.126266666666666
Claude Debussy,"Clair de lune, CD 82/3 (Arr. Parkin & Kaner-Lidström for Saxophone & Ensemble)",28.106883333333332
Hallman,Some Dreams Are Meant to Be Broken,27.999983333333333
Lojay,Monalisa,27.933133333333334
SABAI,Trust Issues,27.835966666666668
PNL,Onizuka,27.779116666666667
WRLD,Awake,27.754466666666666
JVKE,this is what winter feels like,27.717266666666667
Wowkie Da,陽光彩虹小白馬,27.563083333333335
Steve Hartz,Never Get Old,27.3847
Deanz,A Little Closure,27.2778
Alder,What Will It Be of Us,27.202233333333332
Hallmore,Astral Projection (Extended Version),27.19943333333333
Kungs,All Night Long - Extended,27.15665
2NATURAL,Over Again,27.028016666666666
Audien,One More Thing,27.00865
smle,Weightless,26.9366
inverness,Toxic,26.932516666666668
1da Banton,No Wahala,26.841966666666668
Asher Postman,It's Ok,26.657466666666668
Unknown Brain,Candy,26.579283333333333
Emmi,You = Trouble,26.4595
Camidoh,Sugarcane - Remix,26.456533333333333
BLAEKER,Call My Name (Killrude Remix),26.2646
Daxten,Fall into Place,26.157466666666668
Grant,Wishes,26.109466666666666
jung jaeil,Unfolded…,26.06511666666667
NEFFEX,Losing My Mind,25.898
Arlow,Happy Now,25.8693
Ray,Yeah You,25.770466666666668
Throttle,Japan,25.66395
Fairlane,Not My Night,25.545066666666667
Ameryh,Like in the Movies,25.53745
ellis,Caught in the Rays (Intro),25.38885
Pixel Terror,Millennia,25.308216666666667
NIGHTCAP,Make You Mine,25.169033333333335
DESERT STAR,Foreign Land,25.049366666666668
Quentyn,Nobody - ellis Remix,25.038
Benson Boone,Cry,25.02355
Carbonne,Imagine,24.900683333333333
Stromae,Bonne journée,24.828166666666668
Sick Individuals,Take Me There,24.66955
Kizz Daniel,Oshe (feat. The Cavemen.),24.644066666666667
melvitto,Trouble,24.571283333333334
Conro,Close,24.54185
Brandyn Burnette,Hands Down,24.5025
Lvly,Sleep Deprived,24.462883333333334
Feint,Do Better,24.441433333333332
Jason Mraz,I'm Yours,24.2946
Basixx,Meet Me in the Dark,24.21325
JZyNo,Butta My Bread,24.176133333333333
Ella Faye,You're Like Water,24.1505
Cartoon,Howling,24.0099
Pixel Terror,Chroma,24.004433333333335
Glacier,Still,23.996316666666665
SABAI,Me + You - Rogue Remix,23.89765
Johannes Brahms,"Piano Quartet in C Minor, Op. 60: III. Andante",23.847483333333333
Mavins,Overloading (OVERDOSE),23.843533333333333
Cartoon,C U Again,23.827733333333335
Dadju,I love you,23.7866
Marino,Crush,23.78365
JJD,Lighthouse,23.742533333333334
Killrude,What's Up,23.736933333333333
Direct,I'll Go,23.727
Mitchel Dae,Innocent,23.7067
Omah Lay,i'm a mess,23.5528
melvitto,Santorini Coffee,23.552716666666665
Razorspade,Water Tide,23.549966666666666
Yesable,Love Will Set Us Free,23.428066666666666
soupandreas,Hours,23.426983333333332
Glacier,Ubi,23.418216666666666
Hollywood Principle,Spell (Radio Edit) - Sando Remix,23.384066666666666
Pure Indigo,In My Bed (Daxten Remix),23.380533333333332
BLAEKER,Call My Name (COE Remix),23.369466666666668
Time To Talk,Say The Words,23.3535
Tails,tic tac toe,23.310133333333333
ellis,Moon Funk,23.2664
Olamide,Trumpet,23.240916666666667
Anevo,Keeps Me High,23.2187
Daxten,So Curious,23.189033333333334
Fireboy DML,Feel,23.164283333333334
Jagsy,Don't You Know,23.149566666666665
Gotye,Somebody That I Used To Know,23.106533333333335
Fairlane,5 Years,23.074583333333333
Yesable,In My Veins,23.0206
Anevo,Waiting On Your Call,22.985316666666666
Tony Ann,VIRGO “The Perfectionist”,22.957916666666666
Mark Ambor,Belong Together,22.894283333333334
WALK THE MOON,Shut Up and Dance,22.8762
Half an Orange,Left Behind,22.866483333333335
Daxten,Rumors,22.822666666666667
Summer Was Fun,My Dear,22.809433333333335
Basixx,Body on Body,22.680016666666667
Lvly,Night After Night,22.646833333333333
HHMR,Once More,22.57668333333333
Daxten,Call It a Day (Celebrate),22.488466666666667
Asake,Lonely At The Top,22.471866666666667
Ayo Maff,Dealer,22.471466666666668
Joseph Haydn,"Adagio in F, H.XVII No. 9",22.466666666666665
Time To Talk,Know It All,22.432583333333334
Basixx,Rockstar,22.4182
Larza,All I Know,22.388533333333335
Duumu,What Feels Right,22.387783333333335
Pixel Terror,Dilemma,22.348916666666668
Rootkit,Against The Sun,22.348083333333335
Doechii,Anxiety,22.2903
Hallmore,District Zero,22.278483333333334
Victony,"Soweto (with Don Toliver, Rema & Tempoe)",22.225216666666668
Zack Merci,Nobody,22.225
Conro,Me,22.222583333333333
Aya Nakamura,Hypé (feat. Ayra Starr),22.107666666666667
Conditional,Let You Go (Daxten Remix),22.008433333333333
Yiruma,We Contain Multitudes — piano reworks,22.004416666666668
Raven & Kreyn,Dream Forever,21.998916666666666
Kastra,Renegade,21.9418
Loïc Nottet,Mr/Mme,21.925916666666666
Tut Tut Child,If I Could,21.916216666666667
$werve,TOMA TOMA TOMA,21.868816666666667
Hallman,I Need More of You,21.716216666666668
OVSKY,Warmer,21.712083333333332
Daxten,Feel the Pressure,21.661633333333334
Burna Boy,For My Hand (feat. Ed Sheeran),21.576066666666666
Basixx,Need Your Touch,21.517533333333333
Djo,End of Beginning,21.504616666666667
Fireboy DML,King,21.49165
Fairlane,Wildfire,21.457233333333335
Hallmore,The Illusion,21.454916666666666
Reyer,Even Though I Walk - Reyer Remix,21.4103
Half an Orange,Blink 182,21.404566666666668
Swif7,Thoughts in My Mind,21.3406
